created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 13:24:42 +0000 2025,1953084820126613555,@theruinart Aku juga kemarin malam makan mie loh! Kalau hari ini aku makan tumis taoge dan lele goreng!,0,0,0,0,in,1943645218282291200,1953082696202371211,gareutteok,https://x.com/gareutteok/status/1953084820126613555,,"Her, Ardelina Kendra.",theruinart
Wed Aug 06 13:24:27 +0000 2025,1953084757275009465,"SANGHYEON anyonku 🫳🏻🫳🏻 you did well todayy ^____&lt; ♥︎ selamat istirahat jangan lupa makan enak dan makan yang banya ia. semoga kamu mimpi indah dan tidur nyenyak malam ini, aku tunggu kabar baik dari kamu besok &lt;33!",0,1,0,0,in,1918613808119222272,1953084757275009465,sxanyon,https://x.com/sxanyon/status/1953084757275009465,https://pbs.twimg.com/ext_tw_video_thumb/1953055377744093184/pu/img/Ir8udW2GsxNf-G-Y.jpg,ANYON :33! ,
Wed Aug 06 13:21:48 +0000 2025,1953084092695949728,Makan malam bareng yuk,0,2,0,0,in,3160807214,1953084092695949728,aerichandegsu,https://x.com/aerichandegsu/status/1953084092695949728,https://pbs.twimg.com/media/Gxq_mr8awAMWH3O.jpg,Roleplayer,
Wed Aug 06 13:18:53 +0000 2025,1953083356218048631,Malam-malam makan rujak 🤭😂🤣 Drpd mubazir kan ya 😅,0,0,0,0,in,328427641,1953083356218048631,morgensamMeer,https://x.com/morgensamMeer/status/1953083356218048631,,,
Wed Aug 06 13:18:11 +0000 2025,1953083182821326928,"@taehygung Belum kak, mau traktir makan malam kah?",0,1,0,0,in,473797624,1953079003033502054,jcongyunho,https://x.com/jcongyunho/status/1953083182821326928,,Gastian’s ꫂ ၴႅၴ,taehygung
Wed Aug 06 13:17:41 +0000 2025,1953083055595503958,"tangan gatel banget pengen order makanan, tapi akutu lagi diet gamau makan malam. 😪",0,0,0,0,in,86010469,1953083055595503958,ella_shofia,https://x.com/ella_shofia/status/1953083055595503958,,"ÜT: 0.0,0.0",
Wed Aug 06 13:17:10 +0000 2025,1953082923764383837,udh dapet belum kadonya? wkwk lumayan jugakan jalan kaki dapet berapa steps kali ini jangan lupa makan malam 🍴🍱😋 @Lily_JKT48 #DiaLy,0,0,0,0,in,1684630335777300480,1953082923764383837,_nkyra,https://x.com/_nkyra/status/1953082923764383837,,,
Wed Aug 06 13:17:09 +0000 2025,1953082920366911620,"5 Spot Makan 24 Jam di Solo, Solusi Lapar Tengah Malam",0,0,0,0,in,1616331769376276480,1953082920366911620,IDNTimesTravel,https://x.com/IDNTimesTravel/status/1953082920366911620,,,
Wed Aug 06 13:16:35 +0000 2025,1953082778976960793,"@Yogyakartaz Yang nyebelin banyak hari ini, cuman yaudah lah. Oalah gituu, jangan lupa istirahat yaa you did great today. Makan sama apa malam ini?",0,1,0,0,in,573922527,1953076684803940545,oceanmett,https://x.com/oceanmett/status/1953082778976960793,,(21+) Laut Wijaya. ,Yogyakartaz
Wed Aug 06 13:16:26 +0000 2025,1953082738472374781,@butterlyies Makan dessert apa malam ini?,0,1,0,0,in,1237034483477409792,1953072418311836034,ice_americanoo,https://x.com/ice_americanoo/status/1953082738472374781,, nondat ,butterlyies
