created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 16:48:22 +0000 2025,1953136076769640576,"@erickthohir ""Saya fokus ke Timnas...""",0,0,0,0,in,1361243680850341888,1953108203706958060,epere_salindeho,https://x.com/epere_salindeho/status/1953136076769640576,,,erickthohir
Wed Aug 06 16:47:48 +0000 2025,1953135933009825880,"latihannya di Persija, mainnya di timnas",0,1,8,58,in,113955624,1953135933009825880,JakOnline,https://x.com/JakOnline/status/1953135933009825880,,"Jakarta, Indonesia",
Wed Aug 06 16:38:50 +0000 2025,1953133675933208618,@roblox_fess,0,0,0,0,qme,2644776284,1953004566963724778,kakakpertama7_,https://x.com/kakakpertama7_/status/1953133675933208618,,Jakarta Capital Region,roblox_fess
Wed Aug 06 16:35:39 +0000 2025,1953132876503142575,@TimnasIndonesia fokus untuk timnas!,0,0,0,1,in,529262243,1953038187145904192,atuhlieur,https://x.com/atuhlieur/status/1953132876503142575,,,TimnasIndonesia
Wed Aug 06 16:34:06 +0000 2025,1953132486034108499,@erickthohir Ngurus timnas my ass. Wkwkwkwkwk Tuh timnas putri mesakke,0,0,0,0,in,178615466,1953108203706958060,Bakdaimsak,https://x.com/Bakdaimsak/status/1953132486034108499,,"Kyoto-fu, Japan",erickthohir
Wed Aug 06 16:27:51 +0000 2025,1953130912113418745,Hasil Pertandingan Timnas Putri U-20 India melawan Timnas Putri U-20 Indonesia: Skor berakhir 0-0.   Link Berita lainnya :   Link slot gacor RUTE303:   WA Channel BolaRute303:,0,0,0,1,in,1934881138268622852,1953130865133023712,BolaRute303_,https://x.com/BolaRute303_/status/1953130912113418745,,Jakarta,BolaRute303_
Wed Aug 06 16:27:40 +0000 2025,1953130865133023712,Hasil Pertandingan Timnas Putri U-20 India melawan Timnas Putri U-20 Indonesia: Skor berakhir 0-0. Baca berita bolarute303 selengkapnya di kolom komentar Tags : Bandar susu pertumbuhan Rabu we love you aqeela Selamat 5 #TimnasDay,0,1,0,2,in,1934881138268622852,1953130865133023712,BolaRute303_,https://x.com/BolaRute303_/status/1953130865133023712,https://pbs.twimg.com/media/GxrqDa0awAIaUQZ.jpg,Jakarta,
Wed Aug 06 16:25:50 +0000 2025,1953130403247554646,Timnas Putri Indonesia Takluk 0-7 dari Thailand di Laga Pembuka Piala AFF 2025,0,0,0,0,in,1256110480994656256,1953130403247554646,pranaladotco,https://x.com/pranaladotco/status/1953130403247554646,,"Kota Bontang, Kalimantan Timur",
Wed Aug 06 16:24:44 +0000 2025,1953130129015943368,Timnas Putri Indonesia Takluk 0-7 dari Thailand di Laga Pembuka Piala AFF 2025,0,0,0,0,in,1256110480994656256,1953130129015943368,pranaladotco,https://x.com/pranaladotco/status/1953130129015943368,,"Kota Bontang, Kalimantan Timur",
Wed Aug 06 16:22:09 +0000 2025,1953129477359210564,@TimnasIndonesia Fokus timnas awokwkok,0,0,0,0,in,1220429143998746624,1953060589112312269,Sugekk_17,https://x.com/Sugekk_17/status/1953129477359210564,,"Sragen, Indonesia",TimnasIndonesia
Wed Aug 06 16:21:45 +0000 2025,1953129378159952233,@idextratime pemain timnas harimau malaya itu ti kok caption lu gaada bendera tetangga singapura?,0,0,0,0,in,613009970,1953087781036818471,itsaaletheia,https://x.com/itsaaletheia/status/1953129378159952233,,,idextratime
Wed Aug 06 16:15:10 +0000 2025,1953127720420032987,@IndosFC katanya fokus ke timnas 🤷‍♂️,0,0,0,0,in,1372232790125596680,1953058233301561344,Adam_Aja28,https://x.com/Adam_Aja28/status/1953127720420032987,,"Bekasi Timur, Indonesia",IndosFC
